Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ControlStrip,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,COPS_1_0_32,5.0.0.354
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Core Sync,7.4.0.31
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CoreLocationAgent,2890.16.23
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CoreServicesUIAgent,369
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CORE_1_0_32,5.0.0.354
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,CORG_1_1_32,5.0.0.354
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,COSY_7_4_0,6.4.0.361
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Coverage Details,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Crash Reporter,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud Content Manager,6.1.0-9
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud Desktop App,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud Helper,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud Installer,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Creative Cloud Uninstaller,6.5.0.348
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Database Events,1.0.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Desk View,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DFRHUD,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Diagnostics Reporter,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dictation,6.1.82.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dictionary,2.3.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Digital Color Meter,5.22
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Directory Utility,6.4
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DiscHelper,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Disk Utility,22.6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DiskImageMounter,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DiskImages UI Agent,654.120.2
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Display Calibrator,4.18
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dock,1.8
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dropbox,216.4.4420
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,DropboxMacUpdate,210.0.1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Droplet with Settable Properties,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dungeon Alchemist,
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dungeon Alchemist,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Dungeon Alchemist,1.6
